,Topic,Count,Name
0,-1,138876,-1_amends_act_title
1,0,12954,0_school_education_students
2,1,11762,1_care_health_nursing
3,2,11325,2_tax_property_income
4,3,6741,3_election_elections_voter
5,4,5736,4_energy_utility_utilities
6,5,5389,5_day_month_week
7,6,4474,6_retirement_veterans_affairs
8,7,4434,7_unemployment_leave_labor
9,8,3989,8_firearm_firearms_carry
10,9,3812,9_vehicles_vehicle_motor
11,10,3737,10_tenant_landlord_rent
12,11,3412,11_mississippi_1972_37
13,12,2949,12_carolina_south_adding
14,13,2258,13_procurement_contracts_financial
15,14,2138,14_russian_ukraine_china
16,15,1976,15_alcoholic_beverages_liquor
17,16,1914,16_parole_corrections_correctional
18,17,1860,17_water_flood_environmental
19,18,1785,18_animal_animals_dog
20,19,1756,19_cannabis_marijuana_medical
21,20,1639,20_insurance_insurer_insured
22,21,1594,21_century_dakota_north
23,22,1587,22_vaccine_vaccination_immunization
24,23,1562,23_foster_child_children
25,24,1490,24_agriculture_agricultural_food
26,25,1483,25_enforcement_peace_officers
27,26,1457,26_covid_19_pandemic
28,27,1446,27_annotated_georgia_conflicting
29,28,1443,28_wagering_racing_gaming
30,29,1321,29_pharmacy_prescription_drug
31,30,1302,30_memory_jr_san
32,31,1296,31_land_redevelopment_increment
33,32,1231,32_juvenile_violence_domestic
34,33,1186,33_proclaim_memorializing_hochul
35,34,1185,34_neglect_abuse_child
36,35,1156,35_1986_internal_revenue
37,36,1150,36_abortion_reproductive_abortions
38,37,1149,37_plates_plate_license
39,38,1136,38_mourns_death_passing
40,39,1112,39_appropriation_tribal_native
41,40,1107,40_maternal_mortality_311
42,41,1021,41_anniversary_commemorating_club
43,42,1012,42_minnesota_appropriated_money
44,43,955,43_immigration_nationality_border
45,44,953,44_memorial_highway_route
46,45,950,45_waste_solid_recycling
47,46,910,46_fish_wildlife_game
48,47,898,47_tobacco_products_smoking
49,48,872,48_opioid_overdose_naloxone
50,49,820,49_resolution_honoring_occasion
51,50,798,50_retirement_occasion_congratulating
52,51,781,51_forest_tree_trees
53,52,778,52_court_attorney_fees
54,53,777,53_commending_recognizing_resolution
55,54,756,54_pesticides_pesticide_agriculture
56,55,722,55_controlled_fentanyl_substances
57,56,720,56_hawaii_hawaiian_lands
58,57,716,57_team_championship_winning
59,58,706,58_rules_house_senate
60,59,700,59_title_tca_introduced
61,60,693,60_trail_climate_bond
62,61,690,61_appropriation_stormwater_beach
63,62,681,62_driving_interlock_ignition
64,63,666,63_ga_approved_inclusions
65,64,656,64_broadband_internet_rural
66,65,653,65_apprenticeship_loan_workforce
67,66,641,66_historic_rehabilitation_parish
68,67,641,67_dr_smith_jr
69,68,629,68_teacher_elementary_year
70,69,626,69_maine_credit_income
71,70,616,70_bail_pretrial_431
72,71,610,71_mayor_constitutional_cable
73,72,605,72_funeral_cemetery_remains
74,73,605,73_biennial_moneys_oregon
75,74,600,74_celebrating_life_jr
76,75,597,75_defray_making_fiscal
77,76,592,76_trafficking_human_victims
78,77,578,77_hunting_deer_wildlife
79,78,570,78_subtraction_volunteer_income
80,79,569,79_occupational_4723_licensing
81,80,568,80_sexual_offense_material
82,81,561,81_sex_offender_offenders
83,82,556,82_dental_dentist_dentistry
84,83,541,83_cybersecurity_cyber_wills
85,84,531,84_homelessness_homeless_housing
86,85,531,85_title_tca_introduced
87,86,528,86_38_veterans_united
88,87,524,87_winning_coach_championship
89,88,520,88_proposing_amendment_constitutional
90,89,508,89_dispose_claims_claim
91,90,505,90_child_parenting_support
92,91,498,91_physician_practice_assistants
93,92,497,92_commending_michael_john
94,93,490,93_disaster_emergency_governor
95,94,486,94_xviii_medicare_xix
96,95,481,95_coastal_ccr_wetlands
97,96,480,96_arkansas_declare_concerning
98,97,477,97_railroad_toll_trains
99,98,460,98_birthday_100th_celebrating
100,99,460,99_bond_bonds_appropriated
101,100,456,100_treasurer_restrictive_covenant
102,101,440,101_transit_rail_transportation
103,102,438,102_credit_income_tax
104,103,436,103_of_add_sections
105,104,435,104_charging_electric_stations
106,105,434,105_athlete_athletic_interscholastic
107,106,432,106_cuba_entrepreneurial_pollution
108,107,426,107_town_received_approval
109,108,421,108_postpartum_tiktok_voted
110,109,418,109_ann_mule_sue
111,110,412,110_unemployment_employment_add
112,111,403,111_suicide_prevention_crisis
113,112,393,112_oklahoma_hunger_higher
114,113,391,113_pension_annuity_downstate
115,114,391,114_ky_redistricting_congressional
116,115,385,115_valedictorian_high_christian
117,116,381,116_meetings_meeting_open
118,117,381,117_ultrasound_dedicated_fire
119,118,378,118_wage_minimum_hour
120,119,374,119_team_champions_tssaa
121,120,372,120_fuel_gallon_motor
122,121,372,121_condolences_deepest_passing
123,122,371,122_telehealth_telemedicine_patient
124,123,371,123_mental_loan_health
125,124,367,124_top_senior_ten
126,125,365,125_hemp_industrial_tetrahydrocannabinol
127,126,364,126_memory_honoring_life
128,127,363,127_declare_make_bonds
129,128,358,128_trunk_highway_interchange
130,129,357,129_accomplishments_salutatorian_commending
131,130,356,130_49_lea_tca
132,131,355,131_cosmetology_barber_barbering
133,132,355,132_georgia_feminine_diapers
134,133,353,133_oregon_authority_health
135,134,349,134_47_1972_mississippi
136,135,348,135_compact_therapy_occupational
137,136,347,136_penal_add_1170
138,137,346,137_vehicle_illinois_driver
139,138,343,138_meat_polystyrene_food
140,139,342,139_add_commencing_xviii
141,140,342,140_sales_imposition_convey
142,141,341,141_1965_higher_education
143,142,341,142_banking_financial_deposit
144,143,337,143_postal_designate_post
145,144,337,144_supervisors_paying_obligation
146,145,332,145_adjourn_loving_honor
147,146,329,146_mourns_death_passing
148,147,329,147_paying_obligation_assist
149,148,324,148_hate_false_crime
150,149,324,149_plastic_packaging_bags
151,150,323,150_1949_14_march
152,151,322,151_breast_cancer_golf
153,152,316,152_tennessee_49_tca
154,153,315,153_expiring_confirm_smoke
155,154,313,154_language_english_bilingual
156,155,312,155_government_add_commencing
157,156,312,156_media_social_censorship
158,157,312,157_literacy_financial_geothermal
159,158,312,158_krs_kentucky_154
160,159,310,159_tennessee_monoxide_title
161,160,310,160_deaf_hard_blind
162,161,308,161_juror_jury_jurors
163,162,304,162_57_subsection_01
164,163,303,163_ending_appropriations_fiscal
165,164,299,164_organ_donation_donor
166,165,297,165_postsecondary_pupil_add
167,166,297,166_taxpayer_income_illinois
168,167,294,167_expungement_convictions_records
169,168,290,168_elevator_krs_67c
170,169,290,169_bail_assault_punishment
171,170,289,170_commending_karen_pamela
172,171,285,171_speech_audiology_pathology
173,172,285,172_fuel_ethanol_renewable
174,173,285,173_nos_dcam_authorization
175,174,283,174_consolidated_75_pennsylvania
176,175,282,175_theft_riot_organized
177,176,282,176_zero_emission_buses
178,177,281,177_driver_licenses_identification
179,178,281,178_defray_coronavirus_fiscal
180,179,280,179_1367_add_10123
181,180,277,180_baltimore_religious_county
182,181,274,181_contraceptives_infertility_hormonal
183,182,273,182_meals_breakfast_lunch
184,183,272,183_girl_scout_scouting
185,184,272,184_carbon_dioxide_greenhouse
186,185,268,185_salutatorian_high_christian
187,186,267,186_sewage_onsite_water
188,187,267,187_consolidated_pennsylvania_42
189,188,265,188_currency_digital_automatic
190,189,265,189_oklahoma_tier_retroactive
191,190,265,190_iowa_formerly_applicability
192,191,265,191_rank_eagle_scout
193,192,265,192_celebrating_life_ann
194,193,263,193_rebate_transportation_electric
195,194,261,194_unmanned_drone_aircraft
196,195,261,195_history_women_suffrage
197,196,261,196_debt_collection_debtor
198,197,260,197_confirming_nomination_superior
199,198,258,198_1971_known_no
200,199,258,199_bridge_memorial_army
201,200,258,200_georgia_anniversary_recognizing
202,201,256,201_525_riot_krs
203,202,254,202_lead_paint_poisoning
204,203,253,203_3313_3301_3317
205,204,251,204_206_1967_pa
206,205,251,205_fireworks_3743_pyrotechnic
207,206,250,206_sandbox_offenses_consolidated
208,207,249,207_nuclear_radioactive_reactors
209,208,248,208_marriage_divorce_name
210,209,248,209_polyfluoroalkyl_perfluoroalkyl_pfas
211,210,244,210_alpha_sorority_kappa
212,211,243,211_joint_message_session
213,212,243,212_eagle_scout_william
214,213,240,213_bicycles_motorcycle_bicycle
215,214,240,214_lands_land_agricultural
216,215,238,215_film_production_picture
217,216,237,216_leaf_blowers_nonforfeiture
218,217,236,217_23_15_1972
219,218,235,218_recall_constitutional_session
220,219,231,219_availability_limitation_2024
221,220,230,220_insulin_diabetes_prescription
222,221,228,221_voting_vote_convicted
223,222,228,222_taxation_bargaining_counterparts
224,223,228,223_early_childhood_learning
225,224,227,224_380_451_pa
226,225,226,225_appropriation_imagination_comunidades
227,226,225,226_oklahoma_date_tourism
228,227,224,227_ohio_3920_revised
229,228,223,228_defraying_fiscal_expenses
230,229,222,229_dispose_granting_extension
231,230,222,230_blockchain_telephone_calls
232,231,221,231_48_111_938
233,232,220,232_nassau_assessor_real
234,233,219,233_necessity_records_exemption
235,234,219,234_cal_medi_1968
236,235,215,235_procurement_illinois_opportunity
237,236,215,236_professions_krs_business
238,237,215,237_catalytic_converter_converters
239,238,215,238_sorrow_profound_friends
240,239,213,239_ordinary_contingent_appropriates
241,240,213,240_mourning_devoted_distinguished
242,241,211,241_penal_airports_aircraft
243,242,211,242_welfare_aid_institutions
244,243,211,243_wyoming_providing_specifying
245,244,211,244_wildfire_forestry_fire
246,245,208,245_insurance_accident_coverage
247,246,207,246_winter_uri_storm
248,247,207,247_tick_lyme_borne
249,248,206,248_franchisor_card_franchise
250,249,205,249_mining_mines_nonferrous
251,250,203,250_oklahoma_implicit_justice
252,251,200,251_beer_license_wine
253,252,200,252_biometric_identifiers_autism
254,253,199,253_23_disenfranchising_15
255,254,199,254_aid_assistance_medical
256,255,197,255_gender_transition_reassignment
257,256,196,256_securities_1934_exchange
258,257,195,257_limits_term_terms
259,258,194,258_confirmation_columbia_resolution
260,259,194,259_forfeiture_asset_seized
261,260,193,260_newspaper_publication_notices
262,261,192,261_wisconsin_fe_36
263,262,191,262_alaska_dividend_permanent
264,263,189,263_budget_2023_act
265,264,187,264_age_vote_voter
266,265,187,265_arkansas_university_college
267,266,185,266_restroom_restrooms_occupancy
268,267,185,267_menstrual_hygiene_feminine
269,268,185,268_sickle_cell_psilocybin
270,269,184,269_confirm_appointees_appointee
271,270,184,270_representative_87th_intern
272,271,183,271_declaration_amendment_emergency
273,272,183,272_421_408_1936
274,273,179,273_drunk_beverages_handgun
275,274,179,274_2012_short_technical
276,275,176,275_liability_donor_attorney
277,276,176,276_sexual_abuse_childhood
278,277,175,277_segment_pennsylvania_highway
279,278,174,278_intersection_erect_markers
280,279,173,279_housing_rent_tenants
281,280,173,280_168_1954_116
282,281,173,281_daylight_saving_time
283,282,173,282_weapons_1927_750
284,283,169,283_mask_face_wear
285,284,168,284_compensating_impose_extends
286,285,167,285_nebraska_aid_imagine
287,286,167,286_construction_technical_change
288,287,167,287_same_defines_classifies
289,288,166,288_appellate_defender_murder
290,289,166,289_3109_128_4772
291,290,166,290_facial_recognition_technology
292,291,166,291_champion_relay_honoring
293,292,166,292_1927_pa_mcl
294,293,166,293_peer_car_sharing
295,294,164,294_commended_crumpton_lathan
296,295,164,295_taiwan_bilateral_sister
297,296,163,296_eminent_domain_impose
298,297,162,297_1967_known_june
299,298,161,298_congratulate_valor_commend
300,299,160,299_nikki_randall_yellow
301,300,159,300_epinephrine_auto_injectors
302,301,157,301_vessels_boating_watercraft
303,302,156,302_short_technical_illinois
304,303,155,303_georgia_annotated_conflicting
305,304,154,304_barnwell_town_district
306,305,154,305_deadly_defense_force
307,306,154,306_us_availability_limitation
308,307,154,307_16_weapon_concealable
309,308,153,308_appropriations_fiscal_relates
310,309,152,309_network_dnc_transportation
311,310,152,310_restitution_docketed_victim
312,311,149,311_isd_mesquite_named
313,312,149,312_massage_therapist_art
314,313,149,313_swimming_pool_pools
315,314,148,314_annotated_georgia_conflicting
316,315,147,315_former_tribute_concurrent
317,316,146,316_dna_sample_samples
318,317,146,317_appropriations_fiscal_zero
319,318,143,318_short_ethics_technical
320,319,143,319_availability_limitation_2024
321,320,143,320_1929_april_175
322,321,143,321_generally_53_consolidated
323,322,142,322_graduating_valedictorian_congratulating
324,323,142,323_seizure_disorder_epilepsy
325,324,141,324_presidential_elector_electors
326,325,141,325_722_wheelchair_wheelchairs
327,326,140,326_short_technical_election
328,327,140,327_primaries_generally_annotated
329,328,140,328_social_security_ii
330,329,139,329_bridge_route_key
331,330,138,330_cosmetic_drug_food
332,331,138,331_scheduled_exemption_records
333,332,138,332_healing_arts_professions
334,333,136,333_housing_rental_affordable
335,334,136,334_expiring_confirm_proton
336,335,136,335_technical_change_short
337,336,135,336_pennsylvania_35_consolidated
338,337,134,337_contains_dyslexia_short
339,338,133,338_trauma_informed_tactic
340,339,133,339_statue_monuments_capitol
341,340,132,340_paso_el_precinct
342,341,132,341_contract_dcha_no
343,342,131,342_data_consumer_personal
344,343,131,343_1333_1937_320
345,344,130,344_bills_similar_
346,345,129,345_stars_volunteer_award
347,346,129,346_subtraction_maryland_taxable
348,347,129,347_neutral_gender_language
349,348,129,348_wedding_mrs_anniversary
350,349,129,349_none_vehicle_bill
351,350,129,350_ld_308_letter
352,351,129,351_technology_uses_residual
353,352,129,352_notarization_notary_notarial
354,353,128,353_bullying_harassment_cyberbullying
355,354,127,354_milk_raw_dairy
356,355,126,355_appropriation_bill_ethics
357,356,125,356_ordinary_contingent_appropriates
358,357,125,357_asbestos_appraisal_1930
359,358,125,358_tennessee_trustees_university
360,359,124,359_bills_similar_returning
361,360,124,360_oklahoma_bottle_agriculture
362,361,124,361_181_180_intro
363,362,123,362_sprinkler_fire_sprinklers
364,363,123,363_grant_neighborhood_nonprofit
365,364,123,364_received_police_approval
366,365,123,365_pension_definitions_illinois
367,366,122,366_manufacturing_chain_supply
368,367,122,367_statute_application_statutes
369,368,122,368_sexual_misconduct_kau
370,369,121,369_annotated_georgia_conflicting
371,370,121,370_1934_communications_sunscreen
372,371,120,371_bridge_designates_trooper
373,372,119,372_exhaust_soil_soils
374,373,119,373_cottage_food_kitchen
375,374,118,374_dyslexia_screening_screener
376,375,118,375_dedicating_memory_intersection
377,376,118,376_vermont_homeless_heroes
378,377,117,377_al_et_suit
379,378,117,378_hair_texture_hairstyles
380,379,117,379_birthday_100th_celebrating
381,380,116,380_fiscal_appropriation_year
382,381,116,381_articles_dangerous_firearms
383,382,116,382_creating_amusements_1969
384,383,116,383_wrongful_incarceration_wrongly
385,384,116,384_water_waters_add
386,385,115,385_autism_spectrum_disorder
387,386,114,386_defendant_incompetent_competency
388,387,113,387_ordinary_contingent_fy24
389,388,113,388_excelling_rising_educators
390,389,112,389_37_scholarship_mississippi
391,390,112,390_photograph_enterprise_identification
392,391,111,391_kratom_products_product
393,392,110,392_railroad_texas_amendment
394,393,109,393_tribe_puyallup_trust
395,394,109,394_part_subpart_extends
396,395,109,395_coaches_season_championship
397,396,109,396_4740_interior_roofing
398,397,109,397_pregnant_pregnancy_inmates
399,398,108,398_elections_of_sections
400,399,106,399_anniversary_commemorating_75th
401,400,106,400_correction_hea_technical
402,401,104,401_ticket_tickets_resale
403,402,104,402_gender_orientation_identity
404,403,103,403_consolidated_pennsylvania_relations
405,404,103,404_1798_united_states
406,405,103,405_hawaii_university_research
407,406,102,406_elections_partisan_modifies
408,407,102,407_allergy_food_allergens
409,408,102,408_kidney_disease_optional
410,409,102,409_gaming_casino_casinos
411,410,101,410_breed_dog_follows
